"Region No.","State","Service Center","Fiscal Month","Fiscal Year","Building Number","Area Field Office","Cat","Building Designation","Gross Sq.Ft","Electricity (KWH)","Electricity (Cost)","Demand (KW)","Demand (Cost)","Steam (Thou. lbs)","Steam (Cost)","Gas (Cubic Ft)","Gas (Cost)","Oil (Gallon)","Oil (Cost)","Chilled Water (Ton Hr)","Chilled Water (Cost)","Renewable Electricity (KWH)","Renewable Electricity (Cost)","Renewable Gas (Cubic Ft)","Renewable Gas (Cost)","Other (mmBTU)","Other (Cost)","Water (Gallon)","Water (Cost)"
"1.0","Connecticut","SOUTH PROPERTY CTR","1.0","2012.0","CT0013ZZ","5300.0","A","G, X, Y","191445.0","97215.0","18228.0","368.0","5641.0","0.0","0.0","13100.0","310.0","0.0","0.0","0.0","0.0","4861.0","6.0","0.0","0.0","0.0","0.0","49929.0","592.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","2.0","2012.0","CT0013ZZ","5300.0","A","G, X, Y","191445.0","96015.0","17593.0","298.0","5133.0","0.0","0.0","303700.0","7122.0","0.0","0.0","0.0","0.0","4800.0","6.0","0.0","0.0","0.0","0.0","49929.0","592.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","3.0","2012.0","CT0013ZZ","5300.0","A","G, X, Y","191445.0","103512.0","18339.0","290.0","4845.0","0.0","0.0","393300.0","9508.0","0.0","0.0","0.0","0.0","5176.0","6.0","0.0","0.0","0.0","0.0","49929.0","592.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","4.0","2012.0","CT0013ZZ","5300.0","A","G, X, Y","191445.0","96310.0","12612.0","301.0","4653.0","0.0","0.0","534300.0","12564.0","1091.0","3709.0","0.0","0.0","7223.0","9.0","0.0","0.0","0.0","0.0","49929.0","592.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","5.0","2012.0","CT0013ZZ","5300.0","A","G, X, Y","191445.0","95412.0","13012.0","377.0","5071.0","0.0","0.0","462000.0","10866.0","63.0","233.0","0.0","0.0","7156.0","9.0","0.0","0.0","0.0","0.0","68068.0","833.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","6.0","2012.0","CT0013ZZ","5300.0","A","G, X, Y","191445.0","94504.0","12773.0","357.0","4961.0","0.0","0.0","429900.0","10234.0","0.0","0.0","0.0","0.0","7088.0","9.0","0.0","0.0","0.0","0.0","47872.0","650.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","7.0","2012.0","CT0013ZZ","5300.0","A","G, X, Y","191445.0","98729.0","13370.0","385.0","5114.0","0.0","0.0","189900.0","4709.0","0.0","0.0","0.0","0.0","7403.0","9.0","0.0","0.0","0.0","0.0","84524.0","981.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","8.0","2012.0","CT0013ZZ","5300.0","A","G, X, Y","191445.0","119711.0","16460.0","564.0","6727.0","0.0","0.0","9400.0","473.0","0.0","0.0","0.0","0.0","8980.0","11.0","0.0","0.0","0.0","0.0","51612.0","684.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","9.0","2012.0","CT0013ZZ","5300.0","A","G, X, Y","191445.0","140115.0","18116.0","495.0","6751.0","0.0","0.0","10200.0","280.0","0.0","0.0","0.0","0.0","10508.0","13.0","0.0","0.0","0.0","0.0","122672.0","1326.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","10.0","2012.0","CT0013ZZ","5300.0","A","G, X, Y","191445.0","149415.0","19717.0","544.0","7570.0","0.0","0.0","8500.0","260.0","0.0","0.0","0.0","0.0","11026.0","14.0","0.0","0.0","0.0","0.0","128656.0","1380.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","11.0","2012.0","CT0013ZZ","5300.0","A","G, X, Y","191445.0","144315.0","19360.0","527.0","7611.0","0.0","0.0","7200.0","242.0","0.0","0.0","0.0","0.0","10823.0","14.0","0.0","0.0","0.0","0.0","117436.0","1279.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","12.0","2012.0","CT0013ZZ","5300.0","A","G, X, Y","191445.0","111909.0","15939.0","407.0","6772.0","0.0","0.0","10700.0","319.0","0.0","0.0","0.0","0.0","8393.0","10.0","0.0","0.0","0.0","0.0","57596.0","738.0"
"1.0","Connecticut","SOUTH PROPERTY CTR","1.0","2012.0","CT0024ZZ","5300.0","A","G, X, Y","117000.0","69840.0","11855.0","153.0","557.0","0.0","0.0","95900.0","1531.0","65.0","137.0","0.0","0.0","3492.0","4.0","0.0","0.0","0.0","0.0","158825.0","1329.0"
